Aliases,Laboratory,Name,Type,Alcohol Tolerance,Flocculation,Attenuation,Minimum Temp F,Maximum Temp F
Safale - English Ale Yeast,Fermentis / Safale,S-04,Ale,0.0975,High,75,54,77
Safale - German Ale Yeast,Fermentis / Safale,K-97,Ale,0.104,High,81,54,77
Safbrew - Yeast,Fermentis / Safale,Abbaye,Ale,0.11,High,82,54,77
Safbrew - General/Belgian Yeast,Fermentis / Safale,S-33,Ale,0.115,High,70,54,77
Safbrew - Specialty Ale Yeast,Fermentis / Safale,T-58,Ale,0.115,High,70,54,77
Safbrew - Wheat Beer Yeast,Fermentis / Safale,WB-06,Wheat,0.105,Low,86,54,77
Saflager - German Lager Yeast,Fermentis / Safale,S-23,Lager,0.105,High,82,48,72
Saflager - German Lager Yeast,Fermentis / Safale,W-34/70,Lager,0.105,High,83,48,72
Saflager - Swiss Lager Yeast,Fermentis / Safale,S-189,Lager,0.105,High,84,48,72
Saison : Farmhouse,Inland Island Yeast,INIS-291,Ale,High,Medium,76.5,70,95
Saison Blend,GigaYeast,GY047,Ale,,Low,81.5,64,80
Saison Blend,The Yeast Bay,,Ale,n/a,Med/Low,79,68,80
Saison Brasserie,East Coast Yeast,ECY08,Ale,n/a,Medium,80,75,85
Saison Parfait,Bootleg Biology,BBX0104,Ale,Medium,Medium,90,65,85
Saison Single,East Coast Yeast,ECY14,Ale,n/a,Medium,77,75,82
Saison Sour,GigaYeast,GB124,Ale,,N/A,78,68,80
Saison Yeast #1,GigaYeast,GY018,Ale,,Low,82,64,80
Saison Yeast #2,GigaYeast,GY027,Ale,,Low,81,64,80
Saison-Brett Blend,Wyeast,3031-PC,Ale,0.12,Low,85,65,80
Saison/Brettanomyces Blend,The Yeast Bay,,Ale,n/a,Med/Low,80,70,78
Saisonstein's Monster,Omega Yeast Labs,OYL-500,hybrid,High,Low,80,65,78
San Diego Super Yeast,White Labs,WLP090,Ale,High,Med-High,79.5,65,68
San Francisco Lager Yeast,White Labs,WLP810,Lager,Med-High,High,67.5,58,65
Scotch Ale #1,GigaYeast,GY044,Ale,,Med-Low,81,64,75
Scotch Whiskey,White Labs,WLP045,Ale,High,Medium,77,72,77
Scottish Ale,Wyeast,1728,Ale,0.12,High,71,55,75
Scottish Heavy,East Coast Yeast,ECY07,Ale,n/a,Medium,78,60,68
Scourmont Abbey Ale Yeast,GigaYeast,GY014,Ale,,Low,80,64,80
Sigmund's Voss Kveik,The Yeast Bay,,Ale,n/a,High,80.5,70,100
Sour Plum Belgian,GigaYeast,GB123,Ale,,N/A,77,68,80
Sour Solera Blend,Bootleg Biology,BBXSS,Blend,Medium,Medium,95,65,75
Sour Weapon,Bootleg Biology,BBX0089,P. pentosaceus,Medium,n/a,0,80,100
Southern German Lager Yeast,White Labs,WLP838,Lager,Medium,Med-High,72,50,55
Southwold Ale Yeast,White Labs,WLP025,Ale,Medium,Medium,71.5,66,69
Staro Prague Lager,Wyeast,2782,Lager,0.11,High,72,50,58
Super High Gravity Ale Yeast,White Labs,WLP099,Ale,Very High,Medium,85,65,69
Sweet Flemish Brett,GigaYeast,GB144,Ale,,N/A,83,68,75
Sweet Mead,Wyeast,4184,Wine,0.11,Medium,75,65,75
Sweet Mead/Wine Yeast,White Labs,WLP720,Wine,0.15,Low,75,70,75
Tennessee Whiskey,White Labs,WLP050,Ale,High,Medium,77,75,79
Thames Valley Ale,Wyeast,1275,Ale,0.1,Med-Low,77,62,72
Thames Valley II,Wyeast,1882,Ale,0.1,High,75,60,70
The Mad Fermentationist Saison Blend,Bootleg Biology,BBXMAD1,Blend,Medium,Medium,90,68,80
The Monk,Real Brewers,,Ale,0.15,Medium,78,66,72
The One,Real Brewers,,Ale,n/a,High,75,68,75
Trappist Ale,Siebel Institute,BRY 204,Ale,n/a,Medium,78,64,72
Trappist Ale,East Coast Yeast,ECY13,Ale,n/a,Medium,75,66,72
Trappist Ale Yeast,White Labs,WLP500,Ale,High,Med-Low,77.5,65,72
Trappist Blend,Wyeast,3789,Ale,0.12,Medium,77,68,85
Trappist High Gravity,Wyeast,3787,Ale,0.12,Med-High,76,64,78
Trappist Tripel Yeast,GigaYeast,GY015,Ale,,Low,75,66,74
Tropical IPA,Omega Yeast Labs,OYL-200,Brettanomyces,High,Low,85,75,85
UK Dark Ale Yeast,Mangrove Jack,,Ale,n/a,Medium,73,64,72
Urquell Lager,Wyeast,2001,Lager,0.09,Med-High,74,48,58
US West Coast Yeast,Mangrove Jack,M44,Ale,n/a,High,78,59,74
Vermont Ale,The Yeast Bay,,Ale,n/a,Med/Low,78.5,64,72
Vermont IPA Yeast,GigaYeast,GY054,Ale,,Med-Low,80,62,75
W15 Suburban Brett,Imperial Yeast,W15 Suburban Brett,Ale,,Low,77.5,64,74
Wallonian Farmhouse,The Yeast Bay,,Ale,n/a,Medium,84.5,68,78
Weihenstephan Weizen,Wyeast,3068,Wheat,0.1,Low,75,64,75
West Coast Ale I OYL-004,Omega Yeast Labs,OYL 004,Ale,11% ABV,Medium-low,73,60,73
West Yorkshire,Wyeast,1469,Ale,0.09,High,69,64,72
Where da Funk?,Omega Yeast Labs,OYL-210,Brettanomyces,,Very Low,78,68,80
Whitbread Ale,Wyeast,1099,Ale,0.1,High,70,64,75
Whitbread Ale Yeast,White Labs,WLP017,Ale,Medium,High,70,66,70
Windsor Ale Yeast,Danstar,,Ale,Medium,Medium,72,64,70
WLP672 - Lactobacillus Brevis,The Yeast Bay,,Ale,n/a,N/A,80,70,95
Workhorse Beer Yeast,Mangrove Jack,M10,Ale,n/a,Medium,78,59,68
Ye Olde English,Real Brewers,,Ale,n/a,Medium,70,65,70
Yorkshire Square Ale Yeast,White Labs,WLP037,Ale,Med-High,High,70,65,69
Zurich Lager Yeast,White Labs,WLP885,Lager,Medium,Medium,75,50,55
